timestamp,datetime,humidity,pressure,pump_time,soil_moisture,temperature
836567568,2026-07-05 13:52:48,70.64,1013.73,0.00,101.92,21.02
836567568,2026-07-05 13:52:48
836567604,2026-07-05 13:53:24,71.50,1013.74,0.00,102.10,20.79
836568504,2026-07-05 14:08:24,71.59,1013.66,0.00,100.20,20.77
836569404,2026-07-05 14:23:24,71.92,1013.55,0.00,96.03,21.92
836570304,2026-07-05 14:38:24,64.89,1013.55,0.00,99.88,22.40
836571204,2026-07-05 14:53:24,75.40,1014.01,0.00,108.51,19.84
836572104,2026-07-05 15:08:24,75.67,1013.82,0.00,106.99,20.49
836573004,2026-07-05 15:23:24,74.23,1013.85,0.00,107.96,20.91
836573904,2026-07-05 15:38:24,74.58,1013.74,0.00,107.74,20.58
836574804,2026-07-05 15:53:24,75.20,1013.76,0.00,106.78,21.04
836575704,2026-07-05 16:08:24,74.76,1013.73,0.00,107.96,20.75
836576604,2026-07-05 16:23:24,76.20,1013.87,0.00,107.96,19.94
836577504,2026-07-05 16:38:24,76.22,1013.84,0.00,108.18,20.23
836578404,2026-07-05 16:53:24,76.74,1013.67,0.00,106.46,20.78
836579304,2026-07-05 17:08:24,76.44,1013.65,0.00,108.74,20.38
836580204,2026-07-05 17:23:24,77.78,1013.53,0.00,108.51,20.12
836581104,2026-07-05 17:38:24,77.91,1013.39,0.00,107.96,20.35
836582004,2026-07-05 17:53:24,78.21,1013.28,0.00,107.52,20.54
836582904,2026-07-05 18:08:24,75.31,1013.21,0.00,108.29,20.70
836583804,2026-07-05 18:23:24,75.95,1013.08,0.00,107.96,20.61
836584704,2026-07-05 18:38:24,72.56,1012.99,0.00,108.62,20.56
836585604,2026-07-05 18:53:24,73.41,1013.03,0.00,108.51,20.37
836586504,2026-07-05 19:08:24,73.21,1012.93,0.00,108.40,20.40
836587404,2026-07-05 19:23:24,72.10,1013.04,0.00,108.51,20.33
836588304,2026-07-05 19:38:24,70.75,1013.02,0.00,108.74,20.16
836589204,2026-07-05 19:53:24,70.15,1012.93,0.00,108.40,20.15
836590104,2026-07-05 20:08:24,70.14,1013.01,0.00,108.29,20.10
836591004,2026-07-05 20:23:24,69.65,1013.10,0.00,109.30,19.89
836591904,2026-07-05 20:38:24,69.28,1013.07,0.00,109.53,19.70
836592804,2026-07-05 20:53:24,69.53,1013.27,0.00,109.53,19.52
836593704,2026-07-05 21:08:24,69.86,1013.33,0.00,109.99,19.52
836594604,2026-07-05 21:23:24,69.60,1013.47,0.00,109.65,19.54
836595504,2026-07-05 21:38:24,71.45,1013.45,0.00,109.65,19.56
836596404,2026-07-05 21:53:24,67.75,1013.52,0.00,110.11,19.67
836597304,2026-07-05 22:08:24,67.68,1013.53,0.00,110.23,19.64
836598204,2026-07-05 22:23:24,67.58,1013.68,0.00,110.23,19.52
836599104,2026-07-05 22:38:24,67.91,1013.64,0.00,110.70,19.06
836600004,2026-07-05 22:53:24,68.27,1013.62,0.00,110.23,19.07
836600904,2026-07-05 23:08:24,68.84,1013.65,0.00,110.23,18.98
836601804,2026-07-05 23:23:24,69.00,1013.84,0.00,110.34,18.90
836602704,2026-07-05 23:38:24,69.84,1013.79,0.00,110.58,18.71
836603604,2026-07-05 23:53:24,69.45,1013.57,0.00,110.34,18.68
836604504,2026-07-06 00:08:24,69.14,1013.69,0.00,110.23,18.59
836605404,2026-07-06 00:23:24,69.43,1013.68,0.00,110.46,18.41
836606304,2026-07-06 00:38:24,69.31,1013.77,0.00,110.34,18.42
836607204,2026-07-06 00:53:24,68.81,1013.56,0.00,110.46,18.42
836608104,2026-07-06 01:08:24,70.33,1013.45,0.00,110.94,18.14
836609004,2026-07-06 01:23:24,70.81,1013.41,0.00,111.05,17.96
836609904,2026-07-06 01:38:24,70.09,1013.48,0.00,110.46,17.99
836610804,2026-07-06 01:53:24,69.87,1013.14,0.00,110.34,17.89
836611704,2026-07-06 02:08:24,69.92,1013.06,0.00,110.34,17.80
836612604,2026-07-06 02:23:24,70.23,1013.07,0.00,111.17,17.85
836613504,2026-07-06 02:38:24,70.68,1012.77,0.00,110.46,17.80
836614404,2026-07-06 02:53:24,71.00,1012.65,0.00,110.46,17.75
836615304,2026-07-06 03:08:24,71.17,1012.43,0.00,110.34,17.75
836616204,2026-07-06 03:23:24,71.17,1012.42,0.00,110.46,17.80
836617104,2026-07-06 03:38:24,71.56,1012.37,0.00,110.46,17.77
836618004,2026-07-06 03:53:24,72.15,1012.46,0.00,110.34,17.66
836618904,2026-07-06 04:08:24,72.33,1012.36,0.00,110.34,17.63
836619804,2026-07-06 04:23:24,72.41,1012.20,0.00,110.70,17.66
836620704,2026-07-06 04:38:24,72.59,1011.87,0.00,110.46,17.71
836621604,2026-07-06 04:53:24,73.22,1011.73,0.00,110.58,17.64
836622504,2026-07-06 05:08:24,73.52,1011.65,0.00,110.34,17.65
836623404,2026-07-06 05:23:24,73.85,1011.54,0.00,110.34,17.65
836624304,2026-07-06 05:38:24,74.25,1011.55,0.00,110.34,17.61
836625204,2026-07-06 05:53:24,75.00,1011.45,0.00,110.34,17.52
836626104,2026-07-06 06:08:24,75.32,1011.32,0.00,111.05,17.50
836627004,2026-07-06 06:23:24,75.36,1011.01,0.00,110.70,17.61
836627904,2026-07-06 06:38:24,75.50,1010.85,0.00,110.34,17.64
836628804,2026-07-06 06:53:24,76.21,1010.70,0.00,110.34,17.62
836629704,2026-07-06 07:08:24,76.88,1010.57,0.00,109.99,17.67
836630604,2026-07-06 07:23:24,77.23,1010.57,0.00,109.99,17.69
836631504,2026-07-06 07:38:24,77.42,1010.41,0.00,110.11,17.81
836632404,2026-07-06 07:53:24,77.00,1010.68,0.00,109.76,17.96
836633304,2026-07-06 08:08:24,76.60,1010.53,0.00,110.34,18.19
836634204,2026-07-06 08:23:24,75.72,1010.33,0.00,109.99,18.31
836635104,2026-07-06 08:38:24,76.04,1010.07,0.00,109.76,18.46
836636004,2026-07-06 08:53:24,74.86,1010.07,0.00,108.29,18.77
836636904,2026-07-06 09:08:24,71.89,1010.17,0.00,106.04,19.38
836637804,2026-07-06 09:23:24,71.28,1010.29,0.00,108.96,19.40
836638704,2026-07-06 09:38:24,71.49,1009.96,0.00,108.74,19.38
836639604,2026-07-06 09:53:24,72.93,1009.85,0.00,108.74,19.29
836640504,2026-07-06 10:08:24,73.76,1009.95,0.00,108.85,19.16
836641404,2026-07-06 10:23:24,72.99,1009.67,0.00,107.85,19.65
836642304,2026-07-06 10:38:24,72.62,1009.65,0.00,108.51,19.79
836643204,2026-07-06 10:53:24,72.86,1009.59,0.00,108.85,19.64
836644104,2026-07-06 11:08:24,74.38,1009.68,0.00,108.74,19.52
836645004,2026-07-06 11:23:24,74.22,1009.71,0.00,108.62,19.59
836645904,2026-07-06 11:38:24,74.22,1009.75,0.00,108.96,19.69
836646804,2026-07-06 11:53:24,73.93,1009.58,0.00,108.40,19.78
836647704,2026-07-06 12:08:24,72.07,1009.58,0.00,108.07,20.06
836648604,2026-07-06 12:23:24,70.37,1009.38,0.00,107.31,20.54
